"date","remark","result"
2013-10-23,"",0.15
2013-11-06,"",0.24
2013-11-07,"",0.21
2013-11-08,"",0.18
2013-11-12,"",0.13
2013-11-17,"",0.34
2013-11-18,"",0.295
2013-11-19,"",0.23
2013-11-20,"",0.22
2013-12-18,"",0.06
2014-01-30,"",0.08
2014-02-20,"",0.05
2014-03-07,"",0.11
2014-03-11,"",1.18
2014-03-12,"",2.65
2014-03-13,"",2.32
2014-03-14,"",2.245
2014-03-15,"",2.4475
2014-03-16,"",1.995
2014-03-17,"",1.14
2014-03-19,"",1.785
2014-03-20,"",0.99
2014-03-21,"",0.62
2014-03-22,"",0.46
2014-03-24,"",0.43
2014-03-26,"",0.32
2014-03-28,"",0.41
2014-03-31,"",0.27
2014-04-13,"",0.53
2014-04-14,"",0.505
2014-04-15,"",0.3
2014-04-17,"",0.19
2014-04-29,"",0.27
2014-04-30,"",0.21
2014-05-01,"",0.19
2014-05-08,"",0.19
2014-05-12,"",0.35
2014-05-13,"",0.32
2014-05-14,"",0.25
2014-06-02,"",0.51
2014-06-03,"",0.43
2014-06-04,"",0.38
2014-06-10,"",0.23
2014-06-20,"",0.423333333333333
2014-06-21,"",0.675
2014-06-22,"",0.41
2014-06-30,"",0.435
2014-07-01,"",0.485
2014-07-02,"",0.465
2014-07-06,"",0.25
2014-07-24,"",0.32
2014-08-04,"",0.35
2014-08-05,"",0.41
2014-08-06,"",0.41
2014-08-25,"",0.425
2014-08-26,"",0.5
2014-08-27,"",0.41
2014-09-04,"",0.47
2014-09-05,"",0.44
2014-09-08,"",0.34
2014-09-17,"",0.17
2014-10-02,"",0.18
2014-10-14,"",0.52
2014-10-15,"",0.42
2014-10-16,"",0.33
2014-10-20,"",0.18
2014-11-20,"",0.15
2014-11-23,"",0.26
2014-11-24,"",0.505
2014-11-25,"",0.47
2014-12-11,"",0.18
2015-01-15,"",0.1
2015-02-17,"",0.2
2015-03-08,"",1
2015-03-09,"",1.586
2015-03-10,"",0.963333333333333
2015-03-11,"",0.75
2015-03-16,"",0.25
2015-04-08,"",0.65
2015-04-09,"",0.548
2015-04-10,"",0.636666666666667
2015-04-11,"",0.445
2015-04-12,"",0.35
2015-04-13,"",0.3
2015-04-17,"",0.26
2015-04-24,"",0.15
2015-05-18,"",0.19
2015-05-27,"",0.33
2015-05-28,"",0.27
2015-05-29,"",0.475
2015-05-30,"",0.38
2015-06-01,"",0.31
2015-06-11,"",0.22
2015-06-12,"",0.33
2015-06-13,"",0.355
2015-06-15,"",0.28
2015-07-15,"",0.3
2015-07-17,"",0.29
2015-07-18,"",0.37
2015-07-19,"",0.38
2015-08-10,"",0.28
2015-08-18,"",0.38
2015-08-19,"",0.416666666666667
2015-08-20,"",0.36
2015-08-29,"",0.366666666666667
2015-08-30,"",0.36
2015-09-18,"",0.33
2015-09-29,"",0.4225
2015-09-30,"",0.44
2016-05-24,"",0.166
2016-07-19,"",0.261
2016-09-06,"",0.351
2016-10-11,"",0.23
2016-10-26,"",0.55
2016-10-27,"",0.954
2016-10-28,"",0.9
2016-10-29,"",0.38
2016-10-31,"",0.29
2016-11-14,"",0.14
2016-11-28,"",0.375
2016-11-29,"",0.42
2016-11-30,"",0.4
2016-12-20,"",0.11
2016-12-26,"",0.44
2017-01-17,"",0.615
2017-01-18,"",0.885
2017-01-20,"",1.465
2017-01-21,"",1.34
2017-01-23,"",0.83
2017-01-24,"",0.4
2017-02-10,"",0.2
2017-02-12,"",0.805
2017-02-13,"",0.87
2017-02-14,"",1.1
2017-02-15,"",1.03
2017-02-16,"",0.5
2017-02-20,"",0.28
2017-02-21,"",0.41
2017-02-22,"",0.28
2017-02-24,"",0.26
2017-03-14,"",0.29
2017-03-30,"",0.39
2017-03-31,"",0.29
2017-04-03,"",0.18
2017-04-05,"",0.33
2017-04-11,"",0.19
2017-04-16,"",0.45
2017-04-17,"",0.27
2017-04-27,"",0.305
2017-04-28,"",0.24
2017-05-01,"",0.32
2017-05-04,"",0.19
2017-05-15,"",0.19
2017-06-14,"",0.38
2017-06-23,"",0.28
2017-06-26,"",0.3
2017-06-29,"",0.33
2017-06-30,"",0.37
2017-07-01,"",0.43
2017-07-03,"",0.43
2017-07-12,"",0.37
2017-07-13,"",0.45
2017-07-17,"",0.24
2017-07-20,"",0.32
2017-07-21,"",0.38
2017-07-22,"",0.43
2017-07-24,"",0.53
2017-08-15,"",0.17
2017-09-13,"",0.15
2017-10-13,"",0.28
2017-11-14,"",0.13
2017-12-13,"",0.13
2018-01-16,"",0.14
2018-01-22,"",2.23666666666667
2018-01-23,"",2.175
2018-01-24,"",1.57
2018-02-14,"",0.48
2018-02-17,"",0.94
2018-02-19,"",0.38
2018-02-20,"",1.77
2018-02-21,"",2.19
2018-02-23,"",0.955
2018-02-24,"",1.45
2018-02-25,"",2.245
2018-02-26,"",1.7
2018-02-28,"",0.54
2018-03-02,"",0.37
2018-03-05,"",0.22
2018-03-14,"",0.23
2018-04-11,"",0.14
2018-04-13,"",0.24
2018-04-14,"",0.34
2018-04-15,"",0.26
2018-04-19,"",0.22
2018-04-20,"",0.25
2018-04-21,"",0.27
2018-05-02,"",0.485
2018-05-03,"",0.436666666666667
2018-05-04,"",0.515
2018-05-05,"",0.395
2018-05-07,"",0.3
2018-05-09,"",0.27
2018-05-10,"",0.8
2018-05-11,"",0.46
2018-05-12,"",0.495
2018-05-13,"",0.38
2018-05-14,"",0.69
2018-05-15,"",0.48
2018-05-16,"",0.38
2018-05-18,"",0.28
2018-05-30,"",0.16
2018-06-10,"",0.45
2018-06-11,"",0.416666666666667
2018-06-12,"",0.31
2018-06-14,"",0.22
2018-06-15,"",0.3
2018-06-16,"",0.355
2018-06-17,"",0.36
2018-06-18,"",0.32
2018-06-19,"",0.5
2018-06-20,"",0.46
2018-06-22,"",0.31
2018-06-26,"",0.266
2018-06-27,"",0.396
2018-06-28,"",0.3
2018-06-29,"",0.25
2018-07-16,"",0.22
2018-08-15,"",0.165
2018-08-17,"",0.56
2018-08-18,"",0.45
2018-08-20,"",0.59
2018-08-21,"",0.663333333333333
2018-08-22,"",0.61
2018-08-23,"",0.51
2018-08-25,"",0.32
2018-08-26,"",0.32
2018-08-29,"",0.63
2018-08-30,"",0.52
2018-09-02,"",0.505
2018-09-03,"",0.566666666666667
2018-09-05,"",0.49
2018-09-06,"",0.61
2018-09-10,"",0.25
2018-09-17,"",0.16
2018-09-20,"",0.39
2018-09-26,"",0.64
2018-10-01,"",0.7
2018-10-02,"",0.8
2018-10-03,"",0.64
2018-10-04,"",0.36
2018-10-06,"",0.65
2018-10-07,"",0.82
2018-10-08,"",0.77
2018-10-09,"",0.8
2018-10-10,"",0.54
2018-10-11,"",0.81
2018-10-12,"",0.41
2018-10-16,"",0.17
2018-10-31,"",0.18
2018-11-04,"",0.36
2018-11-05,"",0.45
2018-11-06,"",0.48
2018-11-08,"",0.26
2018-11-14,"",0.14
2018-12-13,"",0.11
2019-01-17,"",0.14
2019-02-03,"",0.42
2019-02-04,"",1.34
2019-02-05,"",1.585
2019-02-07,"",0.54
2019-02-11,"",0.16
2019-03-13,"",2.40428571428571
2019-03-14,"",1.516
2019-03-15,"",1.645
2019-03-17,"",0.94
2019-03-25,"",0.33
2019-04-11,"",0.36
2019-04-12,"",0.775
2019-04-16,"",0.12
2019-04-23,"",0.325
2019-04-29,"",0.13
2019-05-05,"",0.22
2019-05-06,"",0.24
2019-05-08,"",0.38
2019-05-09,"",0.33
2019-05-15,"",0.13
2019-05-19,"",0.24
2019-05-24,"",0.25
2019-05-25,"",0.985
2019-05-26,"",0.79
2019-06-03,"",0.22
2019-06-11,"",0.17
2019-06-14,"",0.21
2019-06-28,"",0.82
2019-06-29,"",0.49
2019-06-30,"",0.82
2019-07-01,"",0.545
2019-07-02,"",0.555
2019-07-08,"",0.26
2019-07-15,"",0.11
2019-07-19,"",0.483333333333333
2019-07-20,"",0.56
2019-07-22,"",0.32
