date,remark,result
11/11/1991,,0.15
12/28/1991,,0.21
2/20/1992,,0.74
2/21/1992,,0.39
2/22/1992,,1.1
2/23/1992,,1.85
2/24/1992,,1.85
2/25/1992,,2.2
2/27/1992,,2.128571429
2/28/1992,,2.5
2/29/1992,,2.2
3/1/1992,,2.1
3/2/1992,,1.1
3/4/1992,,0.57
3/9/1992,,0.415
3/10/1992,,0.74
3/16/1992,,0.32
3/17/1992,,0.175
4/15/1992,,0.44
4/16/1992,,0.34
4/19/1992,,0.97
4/20/1992,,0.876666667
4/22/1992,,0.515
4/29/1992,,0.225
5/22/1992,,1.31
5/23/1992,,0.34
7/2/1992,,0.326666667
7/8/1992,,0.1825
7/12/1992,,0.47
7/13/1992,,0.44
7/14/1992,,1.065
8/7/1992,,1.433333333
8/25/1992,,0.275
8/26/1992,,0.415
8/29/1992,,0.396666667
9/6/1992,,0.26
9/9/1992,,0.766666667
9/14/1992,,0.49
9/16/1992,,0.675
9/17/1992,,1.466666667
9/18/1992,,0.63
9/19/1992,,1.2
10/8/1992,,0.42
10/15/1992,,0.23
11/1/1992,,0.35
11/2/1992,,0.77
11/20/1992,,0.82
11/21/1992,,1.95
11/22/1992,,1
11/23/1992,,1.4
11/24/1992,,1.1
11/25/1992,,0.54
11/26/1992,,0.36
12/15/1992,,0.296666667
12/16/1992,,0.825
12/17/1992,,0.72
12/29/1992,,0.233333333
12/30/1992,,0.59
12/31/1992,,1.4
1/4/1993,,1.22
3/6/1993,,3.1
3/7/1993,,4.1
3/8/1993,,3.54
3/9/1993,,2.625
3/10/1993,,1.766666667
3/11/1993,,1.7
3/16/1993,,1.456
3/17/1993,,1.26
3/18/1993,,1.25
3/19/1993,,1.6
3/20/1993,,1.1
3/22/1993,,1.4
3/23/1993,,1.315
3/24/1993,,2.433333333
3/25/1993,,1.925
3/26/1993,,1.8
3/27/1993,,1.433333333
3/28/1993,,1.29
3/29/1993,,0.97
3/30/1993,,0.57
3/31/1993,,1.71
4/1/1993,,0.97
4/2/1993,,0.49
4/3/1993,,0.59
4/5/1993,,1.1
4/7/1993,,0.81
4/8/1993,,0.845
4/10/1993,,0.56
4/11/1993,,0.65
4/15/1993,,0.67
4/16/1993,,0.715
4/17/1993,,0.43
4/18/1993,,0.38
4/19/1993,,0.586666667
4/20/1993,,0.97
4/22/1993,,0.37
4/27/1993,,0.21
5/2/1993,,0.28
5/3/1993,,0.23
5/4/1993,,0.305
5/10/1993,,0.48
5/24/1993,,0.28
5/30/1993,,0.28
6/1/1993,,0.49
6/7/1993,,1.304
6/8/1993,,0.77
6/9/1993,,0.6
6/14/1993,,1.04
6/17/1993,,0.37
6/18/1993,,1.9
6/20/1993,,0.53
6/24/1993,,0.16
6/25/1993,,1.1
6/30/1993,,0.26
7/5/1993,,0.504
7/6/1993,,1.19
7/7/1993,,0.82
7/8/1993,,0.88
7/9/1993,,1.631666667
7/10/1993,,1.25
7/11/1993,,1.9
7/13/1993,,0.48
7/14/1993,,1.1
7/17/1993,,4.4
7/18/1993,,1.2
7/25/1993,,1.7975
7/27/1993,,0.825
7/28/1993,,1.305
8/9/1993,,0.27
8/15/1993,,0.25
8/16/1993,,0.64
8/17/1993,,0.52
8/23/1993,,1.6
8/24/1993,,2.5
8/30/1993,,1.65
8/31/1993,,0.95
9/13/1993,,0.595
9/14/1993,,1.325
9/15/1993,,0.81
9/17/1993,,0.52
9/25/1993,,0.48
9/26/1993,,0.98
9/29/1993,,0.26
10/9/1993,,0.265
11/14/1993,,0.2
11/15/1993,,0.22
11/25/1993,,0.11
11/26/1993,,0.735
12/16/1993,,0.29
1/3/1994,,0.07
6/9/1994,,0.17
6/13/1994,,0.193333333
6/16/1994,,0.24
6/18/1994,,0.4
6/19/1994,,0.29
6/20/1994,,0.235
6/22/1994,,0.13
6/23/1994,,0.578
6/24/1994,,0.875
6/26/1994,,0.79
6/27/1994,,0.6
6/30/1994,,0.48
7/5/1994,,4.445
7/7/1994,,0.553333333
7/8/1994,,3.12
7/20/1994,,0.4775
7/28/1994,,0.11
8/3/1994,,0.446666667
8/4/1994,,3.03
8/10/1994,,0.2935
8/11/1994,,1.133
8/12/1994,,0.725
8/18/1994,,0.236
8/24/1994,,0.507
8/31/1994,,0.215
9/9/1994,,0.443666667
9/10/1994,,0.919
9/14/1994,,0.777333333
9/15/1994,,1.145
9/16/1994,,0.8785
9/17/1994,,0.929
9/22/1994,,0.288
9/24/1994,,0.675
9/25/1994,,0.57
9/26/1994,,0.473
9/27/1994,,0.756
9/29/1994,,0.32
10/6/1994,,0.162
10/12/1994,,0.159
10/20/1994,,0.178
10/26/1994,,0.132
11/3/1994,,0.106
11/5/1994,,0.23
11/9/1994,,0.208
11/27/1994,,0.47
11/28/1994,,1.425
1/19/1995,,0.28
2/20/1995,,1.876666667
2/21/1995,,1.48
2/22/1995,,0.87
2/23/1995,,0.44
3/11/1995,,2.072
3/12/1995,,0.75
3/13/1995,,0.575
3/20/1995,,0.243333333
3/21/1995,,0.9
3/22/1995,,0.45
3/27/1995,,0.426666667
3/28/1995,,0.605
3/29/1995,,0.45
