"date","remark","result"
2012-10-14,"",0.4625
2012-10-15,"",0.245
2012-10-16,"",0.19
2012-10-18,"",0.173333333333333
2012-10-19,"",0.15
2012-10-20,"",0.14
2012-10-22,"",0.18
2012-10-23,"",0.15
2012-10-24,"",0.14
2012-11-11,"",0.12
2012-11-12,"",0.15
2012-11-15,"",0.08
2012-12-13,"",0.07
2013-01-09,"",0.08
2013-01-11,"",0.1
2013-01-12,"",0.19
2013-01-13,"",0.2
2013-01-29,"",0.955714285714286
2013-01-30,"",1.19
2013-01-31,"",0.976666666666667
2013-02-02,"",1.01
2013-02-04,"",0.63
2013-02-11,"",0.21
2013-02-12,"",0.28
2013-02-14,"",0.3
2013-02-15,"",0.27
2013-02-21,"",0.13
2013-03-10,"",0.715
2013-03-11,"",1.2725
2013-03-12,"",1.05
2013-03-13,"",1.11
2013-03-15,"",1.12
2013-03-17,"",0.9
2013-03-21,"",0.19
2013-03-28,"",1.56
2013-03-29,"",1.4
2013-03-30,"",1.27
2013-03-31,"",0.965
2013-04-01,"",0.8
2013-04-03,"",0.61
2013-04-04,"",0.47
2013-04-07,"",0.41
2013-04-09,"",0.426666666666667
2013-04-10,"",0.555
2013-04-11,"",0.42
2013-04-12,"",0.35
2013-04-14,"",0.25
2013-04-17,"",0.2
2013-04-18,"",0.516666666666667
2013-04-19,"",0.34
2013-04-22,"",0.17
2013-05-10,"",0.38
2013-05-11,"",0.255
2013-05-12,"",0.2
2013-05-15,"",0.15
2013-06-11,"",0.18
2013-06-13,"",0.32
2013-06-22,"",0.39
2013-06-23,"",0.963333333333333
2013-06-24,"",0.54
2013-06-25,"",0.675
2013-06-26,"",1.04333333333333
2013-06-27,"",0.61
2013-06-28,"",0.67
2013-06-29,"",0.95
2013-07-01,"",1.25
2013-07-03,"",1.05
2013-07-17,"",0.17
2013-08-16,"",0.09
2013-08-22,"",0.21
2013-09-17,"",0.13
2013-09-20,"",0.18
2013-10-23,"",0.08
2013-11-01,"",0.1
2013-11-06,"",0.13
2013-11-07,"",0.15
2013-11-08,"",0.12
2013-11-12,"",1.24
2013-11-17,"",0.16
2013-11-18,"",0.19
2013-11-19,"",0.22
2013-11-26,"",0.084
2013-11-27,"",0.582
2013-11-28,"",0.154
2013-12-18,"",0.06
2014-01-30,"",0.07
2014-02-19,"",0.04
2014-03-07,"",0.06
2014-03-11,"",0.67
2014-03-12,"",2.28666666666667
2014-03-13,"",2.19333333333333
2014-03-14,"",1.99
2014-03-15,"",2.1075
2014-03-16,"",2.33
2014-03-18,"",2.23
2014-03-19,"",1.65
2014-03-20,"",1.555
2014-03-22,"",1.08
2014-03-24,"",0.74
2014-03-26,"",0.29
2014-03-28,"",0.42
2014-03-29,"",1.37
2014-03-30,"",0.6
2014-03-31,"",0.35
2014-04-13,"",0.396666666666667
2014-04-14,"",0.7675
2014-04-15,"",0.4
2014-04-16,"",0.3
2014-04-28,"",0.12
2014-04-29,"",0.2
2014-04-30,"",0.32
2014-05-01,"",0.2
2014-05-08,"",0.13
2014-05-12,"",0.33
2014-05-13,"",0.71
2014-05-14,"",0.5
2014-05-28,"",0.31
2014-05-29,"",0.51
2014-06-02,"",0.55
2014-06-03,"",0.49
2014-06-04,"",0.49
2014-06-05,"",0.41
2014-06-06,"",0.38
2014-06-10,"",0.19
2014-06-18,"",0.473333333333333
2014-06-19,"",1.15666666666667
2014-06-20,"",0.5675
2014-06-21,"",0.53
2014-06-22,"",0.53
2014-06-23,"",0.54
2014-06-27,"",0.45
2014-06-30,"",0.455
2014-07-01,"",0.535
2014-07-02,"",0.51
2014-07-03,"",0.49
2014-07-07,"",0.38
2014-07-24,"",0.17
2014-08-05,"",0.466666666666667
2014-08-06,"",0.24
2014-09-04,"",0.33
2014-09-05,"",0.42
2014-09-08,"",0.35
2014-09-17,"",0.11
2014-10-02,"",0.09
2014-10-13,"",0.18
2014-10-14,"",0.4
2014-10-16,"",0.43
2014-10-17,"",0.19
2014-10-20,"",0.16
2014-11-20,"",0.08
2014-11-23,"",0.255
2014-11-24,"",0.17
2014-11-25,"",0.16
2014-12-11,"",0.06
2015-01-15,"",0.06
2015-02-17,"",0.06
2015-03-08,"",0.42
2015-03-09,"",1.12
2015-03-10,"",1.185
2015-03-11,"",0.6
2015-03-16,"",0.19
2015-04-08,"",0.26
2015-04-09,"",0.77
2015-04-10,"",1.1
2015-04-11,"",0.6
2015-04-13,"",0.37
2015-04-14,"",0.15
2015-04-17,"",0.25
2015-04-24,"",0.09
2015-05-18,"",0.22
2015-05-26,"",0.28
2015-05-27,"",0.31
2015-05-28,"",0.49
2015-05-29,"",0.5525
2015-05-30,"",0.666666666666667
2015-05-31,"",0.475
2015-06-01,"",0.39
2015-06-04,"",0.3
2015-06-11,"",0.13
2015-06-12,"",0.3275
2015-06-13,"",0.29
2015-06-16,"",0.31
2015-06-19,"",0.26
2015-07-15,"",0.18
2015-07-18,"",0.293333333333333
2015-08-10,"",0.18
2015-08-19,"",0.385
2015-08-20,"",0.33
2015-08-29,"",0.356666666666667
2015-09-17,"",0.17
2015-09-18,"",0.555
2015-09-29,"",0.626
2015-09-30,"",0.46
2016-10-11,"",0.17
2016-10-26,"",0.876666666666667
2016-10-27,"",0.68
2016-10-28,"",0.48
2016-10-31,"",0.32
2016-11-14,"",0.08
2016-11-28,"",0.36
2016-11-29,"",0.345
2016-11-30,"",0.32
2016-12-20,"",0.05
2016-12-26,"",0.27
2017-01-17,"",0.42
2017-01-18,"",1.01
2017-01-19,"",1.18
2017-01-20,"",1.465
2017-01-21,"",1.3
2017-01-22,"",1.25
2017-01-24,"",0.88
2017-02-10,"",0.13
2017-02-13,"",0.46
2017-02-14,"",0.64
2017-02-15,"",0.68
2017-02-16,"",0.61
2017-02-20,"",0.195
2017-02-21,"",0.388
2017-02-22,"",0.26
2017-02-24,"",0.23
2017-02-25,"",0.23
2017-03-01,"",0.2
2017-03-14,"",0.1
2017-03-30,"",0.17
2017-03-31,"",0.2
2017-04-04,"",0.14
2017-04-11,"",0.17
2017-04-16,"",0.315
2017-04-17,"",0.2
2017-04-27,"",0.175
2017-04-28,"",0.14
2017-05-01,"",0.22
2017-05-02,"",0.24
2017-05-03,"",0.16
2017-05-15,"",0.12
2017-06-13,"",0.385
2017-06-14,"",0.3
2017-06-19,"",0.27
2017-06-26,"",0.25
2017-06-29,"",0.3875
2017-06-30,"",0.35
2017-07-03,"",0.32
2017-07-17,"",0.34
2017-07-20,"",0.33
2017-07-22,"",0.42
2017-07-23,"",0.39
2017-07-24,"",0.35
2017-08-15,"",0.14
2017-09-13,"",0.11
2017-10-13,"",0.19
2017-11-14,"",0.11
2017-12-13,"",0.11
2018-01-16,"",0.1
2018-01-23,"",1.94
2018-01-24,"",2.1
2018-01-25,"",2.29
2018-02-14,"",0.13
2018-02-20,"",1.89333333333333
2018-02-21,"",1.78
2018-02-22,"",1.88
2018-02-24,"",2.04666666666667
2018-02-25,"",1.9925
2018-02-26,"",1.86
2018-02-27,"",1.64
2018-02-28,"",1.28
2018-03-02,"",0.79
2018-03-05,"",0.32
2018-03-14,"",0.16
2018-04-11,"",0.07
2018-04-19,"",0.13
2018-05-02,"",0.4875
2018-05-03,"",0.3675
2018-05-04,"",0.793333333333333
2018-05-05,"",0.39
2018-05-07,"",0.33
2018-05-11,"",0.365
2018-05-13,"",0.38
2018-05-14,"",0.763333333333333
2018-05-16,"",0.23
2018-05-18,"",0.25
2018-05-30,"",0.22
2018-06-10,"",0.17
2018-06-14,"",0.17
2018-06-19,"",0.24
2018-06-20,"",0.29
2018-06-21,"",0.27
2018-06-22,"",0.26
2018-06-24,"",0.24
2018-06-27,"",0.3
