Date,Q,Julian,Year,Month,Day,Season,DecYear,waterYear,Qb,Qq,FNConc,FNFlux,Conc,Flux
10/1/1989,0.31148531,51042,1989,10,275,fall,1989.74863,1990,0.259571092,0.01,0.164352723,8.144805719,0.076564645,2.060533046
10/2/1989,0.31148531,51043,1989,10,276,fall,1989.75137,1990,0.263464658,0.058020652,0.184727167,8.917979427,0.175114102,4.712728651
10/3/1989,0.31148531,51044,1989,10,277,fall,1989.75411,1990,0.267066207,0.054419103,0.18354317,9.04899843,0.1682539,4.528104622
10/4/1989,0.339802156,51045,1989,10,278,fall,1989.756849,1990,0.27043746,0.079364696,0.199317861,11.38486058,0.214778191,6.305652778
10/5/1989,0.594653774,51046,1989,10,279,fall,1989.759589,1990,0.27403073,0.330623044,0.178521493,8.719950664,0.348027997,17.8810124
10/6/1989,0.453069542,51047,1989,10,280,fall,1989.762329,1990,0.277822533,0.185247009,0.181572762,10.07791783,0.320161722,12.53279732
10/7/1989,0.396435849,51048,1989,10,281,fall,1989.765068,1990,0.281310309,0.12512554,0.176978579,8.591511263,0.273554961,9.369820227
10/8/1989,0.368119003,51049,1989,10,282,fall,1989.767808,1990,0.284413021,0.093705982,0.179146925,10.10271145,0.237547866,7.555324353
10/9/1989,0.339802156,51050,1989,10,283,fall,1989.770548,1990,0.287144323,0.062657834,0.162596231,7.487425554,0.189226168,5.555473333
10/10/1989,0.368119003,51051,1989,10,284,fall,1989.773288,1990,0.28954087,0.088578133,0.157441733,6.579189001,0.225552305,7.173799756
10/11/1989,0.339802156,51052,1989,10,285,fall,1989.776027,1990,0.291628545,0.058173612,0.154936474,6.418147027,0.180670957,5.304301693
10/12/1989,0.339802156,51053,1989,10,286,fall,1989.778767,1990,0.293421658,0.056380498,0.147159988,6.146846294,0.177108907,5.199723799
10/13/1989,0.339802156,51054,1989,10,287,fall,1989.781507,1990,0.294932728,0.054869429,0.168438153,7.791686783,0.17366782,5.098697263
10/14/1989,0.31148531,51055,1989,10,288,fall,1989.784247,1990,0.296213992,0.025271318,0.183268507,10.04504895,0.112472793,3.026905001
10/15/1989,0.31148531,51056,1989,10,289,fall,1989.786986,1990,0.297359341,0.024125969,0.176951733,9.286768163,0.107994168,2.906374766
10/16/1989,0.707921159,51057,1989,10,290,fall,1989.789726,1990,0.298899768,0.419021391,0.184569478,10.05596589,0.326863184,19.99238665
10/17/1989,0.453069542,51058,1989,10,291,fall,1989.792466,1990,0.300770461,0.162299081,0.16937568,8.009711913,0.256567839,10.04340155
10/18/1989,0.396435849,51059,1989,10,292,fall,1989.795205,1990,0.302389615,0.104046235,0.16312789,8.882482242,0.232900406,7.977318076
10/19/1989,0.368119003,51060,1989,10,293,fall,1989.797945,1990,0.303716478,0.074402524,0.161510806,8.065128047,0.197145767,6.270316104
