"date","remark","result"
1990-03-08,"",1.32
1990-03-09,"",2.02
1990-03-10,"",1.114
1990-03-11,"",0.7675
1990-03-12,"",0.646666666666667
1990-03-13,"",0.57
1990-03-14,"",1.205
1990-03-15,"",0.5
1990-03-17,"",0.29
1990-04-09,"",0.05
1990-05-10,"",0.337142857142857
1990-05-11,"",0.2
1990-05-16,"",0.42
1990-05-19,"",0.36
1990-05-20,"",0.295
1990-05-22,"",0.09
1990-06-12,"",0.11
1990-06-19,"",0.14
1990-06-22,"",0.49
1990-06-29,"",0.835833333333333
1990-06-30,"",0.575
1990-07-11,"",0.21
1990-08-06,"",0.09
1990-08-11,"",0.622
1990-08-12,"",0.786666666666667
1990-08-14,"",0.12
1990-08-18,"",0.53
1990-08-19,"",0.51625
1990-08-20,"",0.535
1990-10-28,"",0.05
1990-11-13,"",0.02
1990-12-08,"",0.03
1990-12-21,"",0.03
1991-02-01,"",0.02
1991-02-22,"",0.8
1991-02-23,"",0.6
1991-02-28,"",0.06
1991-03-01,"",0.88
1991-03-02,"",1.36
1991-03-03,"",1.3
1991-03-04,"",0.6
1991-03-05,"",0.6475
1991-03-07,"",0.405
1991-03-11,"",0.19
1991-03-13,"",0.1
1991-03-16,"",0.1
1991-03-21,"",0.07
1991-03-23,"",0.16
1991-03-24,"",0.13
1991-03-27,"",0.205
1991-04-09,"",0.27
1991-04-10,"",0.24
1991-04-11,"",0.13
1991-04-12,"",0.145
1991-04-13,"",0.355
1991-04-14,"",0.2925
1991-04-15,"",0.33
1991-05-02,"",0.04
1991-06-04,"",0.1
1991-06-15,"",0.2025
1991-07-01,"",0.363333333333333
1991-07-02,"",0.303333333333333
1991-07-07,"",0.24
1991-07-16,"",0.08
1991-08-21,"",0.05
1991-08-30,"",0.29
1991-09-12,"",0.501666666666667
1991-09-13,"",0.44
1991-09-14,"",0.336666666666667
1991-09-15,"",0.565
1991-10-01,"",0.05
1991-10-15,"",0.2
1991-10-17,"",0.05
1991-10-24,"",0.316666666666667
1991-10-25,"",0.94
1991-10-26,"",0.476666666666667
1991-10-28,"",0.15
1991-10-29,"",0.12
1991-10-31,"",0.36
1991-11-01,"",0.95
1991-11-02,"",0.53
1991-11-04,"",0.13
1991-11-14,"",0.2
1991-11-15,"",0.39
1991-11-17,"",0.16
1991-11-18,"",0.336666666666667
1991-11-19,"",0.26
1991-11-20,"",0.09
1991-11-23,"",0.12
1991-11-24,"",0.09
1991-11-29,"",0.225
1991-11-30,"",0.36
1991-12-01,"",0.23
1991-12-02,"",0.1
1991-12-12,"",0.33
1991-12-13,"",0.21
1991-12-19,"",0.05
1991-12-27,"",0.04
1992-01-31,"",0.01
1992-02-22,"",0.77
1992-02-23,"",0.673333333333333
1992-02-24,"",0.765
1992-02-27,"",1.0675
1992-02-28,"",1.22888888888889
1992-02-29,"",1.275
1992-03-01,"",1.16666666666667
1992-03-02,"",0.786666666666667
1992-03-04,"",0.27
1992-03-09,"",0.21
1992-03-11,"",0.11
1992-03-29,"",0.38
1992-04-02,"",0.02
1992-04-16,"",0.16
1992-04-19,"",0.542
1992-04-20,"",0.4425
1992-04-21,"",0.16
1992-04-24,"",0.07
1992-05-27,"",0.06
1992-06-15,"",0.593636363636364
1992-06-16,"",0.44
1992-06-17,"",0.51
1992-06-18,"",0.23
1992-06-23,"",0.09
1992-07-02,"",1.6
1992-07-08,"",1.20142857142857
1992-07-09,"",0.19
1992-07-10,"",0.19
1992-07-12,"",0.326666666666667
1992-07-13,"",0.6
1992-07-14,"",0.515
1992-07-15,"",0.24
1992-08-08,"",0.77
1992-08-17,"",0.15
1992-08-26,"",0.09
1992-08-31,"",0.1
1992-09-09,"",0.166666666666667
1992-09-16,"",0.9
1992-09-17,"",0.74
1992-09-18,"",0.305
1992-09-22,"",0.19
1992-09-23,"",0.11
1992-09-26,"",0.235
1992-09-27,"",0.27
1992-09-28,"",0.17
1992-09-30,"",0.13
1992-10-07,"",0.08
1992-10-16,"",0.22
1992-11-01,"",0.14
1992-11-02,"",0.235
1992-11-04,"",0.08
1992-11-16,"",0.2
1992-11-20,"",0.462
1992-11-21,"",0.69
1992-11-22,"",0.265
1992-11-23,"",0.34
1992-11-25,"",0.09
1992-11-27,"",0.09
1992-11-29,"",0.11
1992-12-04,"",0.08
1992-12-15,"",0.216666666666667
1992-12-16,"",0.39
1992-12-17,"",0.18
1993-01-04,"",0.675
1993-01-20,"",0.02
1993-03-05,"",0.6
1993-03-06,"",0.583333333333333
1993-03-07,"",1.48
1993-03-08,"",1.975
1993-03-09,"",1.8
1993-03-10,"",1.5
1993-03-11,"",0.75
1993-03-12,"",0.57
1993-03-15,"",0.19
1993-03-16,"",0.85
1993-03-17,"",1.1
1993-03-18,"",0.59
1993-03-19,"",0.53
1993-03-23,"",0.645
1993-03-24,"",1.48333333333333
1993-03-25,"",1.36666666666667
1993-03-26,"",1.3
1993-03-27,"",0.81
1993-03-28,"",0.93
1993-03-29,"",0.59
1993-03-30,"",0.53
1993-03-31,"",0.528333333333333
1993-04-01,"",0.58
1993-04-02,"",0.43
1993-04-03,"",0.325
1993-04-05,"",0.29
1993-04-07,"",0.21
1993-04-08,"",0.39
1993-04-09,"",0.22
1993-04-13,"",0.11
1993-04-14,"",1.3
1993-04-15,"",0.616666666666667
1993-04-16,"",0.91
1993-04-17,"",0.22
1993-04-19,"",0.38
1993-04-20,"",0.496666666666667
1993-04-21,"",0.405
1993-04-23,"",0.18
1993-04-25,"",0.12
1993-04-28,"",0.11
1993-05-02,"",0.11
1993-05-03,"",0.29
1993-05-06,"",0.14
1993-05-08,"",0.18
1993-05-09,"",0.21
1993-05-23,"",0.19
1993-05-24,"",0.15
1993-05-25,"",0.06
1993-05-30,"",0.16
1993-05-31,"",0.18
1993-06-04,"",0.12
1993-06-07,"",1.59375
1993-06-08,"",0.485
1993-06-09,"",0.26
1993-06-10,"",0.18
1993-06-14,"",0.723333333333333
1993-06-15,"",0.32
1993-06-16,"",0.17
1993-06-17,"",0.42
1993-06-18,"",0.81
1993-06-19,"",0.33
1993-06-21,"",0.23
1993-06-24,"",0.22
1993-06-25,"",0.36
1993-06-30,"",0.14
1993-07-01,"",0.11
1993-07-03,"",0.14
1993-07-05,"",0.61
1993-07-06,"",0.708571428571429
1993-07-07,"",0.675
1993-07-08,"",0.43
1993-07-09,"",1.424
1993-07-10,"",1.11333333333333
1993-07-12,"",0.64
1993-07-13,"",0.42
1993-07-15,"",0.35
1993-07-17,"",0.32
1993-07-18,"",0.41
